观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
2846752,9356,16718,38155,64840,38045,216970,1966994
1353410,3668,3371,13794,31356,6175,108249,1545139
792352,1756,2340,26474,35884,2669,65030,1394861
1310673,42197,8496,33352,16540,13217,41558,1286870
651505,28856,9672,31761,11946,12077,38318,1222216
517250,731,1364,16771,14025,1086,42585,1000077
499054,27820,4189,19109,12688,6341,21773,928609
289288,15586,15372,12811,12429,6452,13057,723081
628305,466,762,11667,5600,2712,18528,494664
198561,580,1391,3729,6705,578,22542,421943
