观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
2647747,3276,14507,30259,68389,6252,262572,2916170
3708592,74640,102240,228640,537448,106901,423983,2160333
1004320,1682,1728,30593,74590,4281,137495,1993796
942416,1616,1783,40718,70726,6701,120496,1872188
952715,2555,1626,15228,53914,797,135160,1748497
654291,3128,2369,39418,64088,5114,70859,1493426
685337,1410,1362,36927,24540,2051,66884,1458138
1390244,4734,9731,142790,266101,36125,238689,1326490
785727,6275,3415,14919,33535,2356,67152,1320647
754711,2346,2522,12471,16234,8228,88443,1295697
